projectId,projFullName,projShortName,summary,status
1,Export Industry Technology Support (PROEXAG II),PROEXAG II,Support for technological advancement in the export industry.,Active
2,Transportation Support,TransSupport,Providing logistical support to transportation systems.,Completed
3,Emergency Food Security Assessment and Monitoring in Southern Africa,EFSA-SA,Assessment of food security conditions in Southern Africa.,Ongoing
4,Assessment and Analysis of Progress Toward SO5 Goals and Support to Forestry Activities in the Maya Biosphere Reserve,SO5-Maya,Analysis of progress towards sustainable forestry goals.,Completed
5,Global Fund Ghana 2021-2023,GF-Ghana,Providing financial support for healthcare projects in Ghana.,Active
6,Financial Services Diagnostic,FSD,Diagnostic assessment of financial services across sectors.,Ongoing
7,Promoting Industrial Zones and Investment Mobilization,IndZones,Fostering industrial zone development and investment mobilization.,Active
8,Control of Corruption Project,CCP,Support programs for the reduction of corruption in various sectors.,Completed
9,Kosovo Business Support - Employment Generation Program,K-BizSupport,Employment generation through business support in Kosovo.,Ongoing
10,African Private Sector Food Processing and Packaging Orientation Visit,AFR-FoodVisit,Exploring food processing opportunities in Africa.,Active
11,Tourism Development in the Petra Region,PetraTourism,Development of sustainable tourism strategies in Petra.,Completed
12,Evaluation of Applied Agricultural Research and Outreach Project,AgricultureEval,Evaluating agricultural research outcomes and outreach efforts.,Ongoing
13,Global Fund Mauritania Technical Assistance,GF-Mauritania,Providing technical assistance through the Global Fund in Mauritania.,Active
14,Farm Restructuring and Development,FarmRestructure,Supporting farm restructuring and development initiatives.,Completed
15,Improving Methods of Privatization to Accelerate the Closing of Transactions,PrivatizationMethods,Enhancing privatization methods to accelerate business transitions.,Ongoing
16,"Trade, Investment and Finance Activity",TIFA,Activities aimed at improving trade and financial services.,Active
17,Economic Growth Strategy,EGS,Developing and implementing strategies for economic growth.,Completed
18,Biodiversity Analysis and Technical Support for USAID Africa,Biodiv-Analysis,Providing biodiversity analysis for USAID Africa initiatives.,Active
19,Strengthening Institutional Capacity for Cross-border Monitoring of Livestock and Staple Foods Trade and Markets in the Great Horn of Africa,Cross-borderLivestock,Monitoring and improving livestock trade and market systems.,Ongoing
20,Cargill Land Innovation Fund,Cargill-Fund,Funding innovative agricultural land projects through Cargill.,Active
